LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,AVWAGE,TOT,USD,A,1991,42309.38148,
AUS,AVWAGE,TOT,USD,A,1992,43173.77133,
AUS,AVWAGE,TOT,USD,A,1993,43578.24142,
AUS,AVWAGE,TOT,USD,A,1994,43873.85695,
AUS,AVWAGE,TOT,USD,A,1995,43715,
AUS,AVWAGE,TOT,USD,A,1996,44976.27559,
AUS,AVWAGE,TOT,USD,A,1997,46355.55509,
AUS,AVWAGE,TOT,USD,A,1998,46999.6351,
AUS,AVWAGE,TOT,USD,A,1999,48064.87024,
AUS,AVWAGE,TOT,USD,A,2000,48213.08868,
AUS,AVWAGE,TOT,USD,A,2001,48693.3023,
AUS,AVWAGE,TOT,USD,A,2002,49140.63129,
AUS,AVWAGE,TOT,USD,A,2003,49849.37515,
AUS,AVWAGE,TOT,USD,A,2004,51414.31839,
AUS,AVWAGE,TOT,USD,A,2005,52013.93975,
AUS,AVWAGE,TOT,USD,A,2006,52368,
AUS,AVWAGE,TOT,USD,A,2007,53805,
AUS,AVWAGE,TOT,USD,A,2008,54149,
AUS,AVWAGE,TOT,USD,A,2009,53644,
AUS,AVWAGE,TOT,USD,A,2010,55536,
AUS,AVWAGE,TOT,USD,A,2011,57361,
AUS,AVWAGE,TOT,USD,A,2012,57752,
AUS,AVWAGE,TOT,USD,A,2013,57579,
AUS,AVWAGE,TOT,USD,A,2014,58102,
AUS,AVWAGE,TOT,USD,A,2015,57744,
AUS,AVWAGE,TOT,USD,A,2016,57885,
AUS,AVWAGE,TOT,USD,A,2017,57619,
AUS,AVWAGE,TOT,USD,A,2018,57843,
AUS,AVWAGE,TOT,USD,A,2019,58620,
AUS,AVWAGE,TOT,USD,A,2020,60377,
AUS,AVWAGE,TOT,USD,A,2021,60681.49855,
AUS,AVWAGE,TOT,USD,A,2022,59407.88998,
AUT,AVWAGE,TOT,USD,A,1991,52697.39661,
AUT,AVWAGE,TOT,USD,A,1992,53759.05665,
