StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q3_0_GROUP,Q3_0_1_RANK,Q3_0_2_RANK,Q3_0_3_RANK,Q3_0_4_RANK,Q3_0_5_RANK,Q3_0_6_RANK,Q3_0_7_RANK,Q3_0_8_RANK,Q3_0_9_RANK,Q3_0_10_RANK,Q3_0_11_RANK,Q3_0_12_RANK,Q4
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please rank the following aspects in order of their importance to you when choosing a city to live in, with 1 being the most important and 7 being the least important. - Sustainability","Please rank the following aspects in order of their importance to you when choosing a city to live in, with 1 being the most important and 7 being the least important. - Public transport","Please rank the following aspects in order of their importance to you when choosing a city to live in, with 1 being the most important and 7 being the least important. - Employment","Please rank the following aspects in order of their importance to you when choosing a city to live in, with 1 being the most important and 7 being the least important. - Cost of living","Please rank the following aspects in order of their importance to you when choosing a city to live in, with 1 being the most important and 7 being the least important. - Weather","Please rank the following aspects in order of their importance to you when choosing a city to live in, with 1 being the most important and 7 being the least important. - Safety / crime rate","Please rank the following aspects in order of their importance to you when choosing a city to live in, with 1 being the most important and 7 being the least important. - Social",Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Groups - Your Top 5 Choices,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - New York - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - San Francisco - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - London - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Berlin - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Paris - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Copenhagen - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Dubai - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Singapore - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Shanghai - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Tokyo - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Mumbai - Rank,Please select your top 5 preferred cities to live in from the list. Choose based on your personal preferences and priorities. - Ranks - Your Top 5 Choices - Sydney - Rank,"Finally, would you like to nominate another city that you're interested in but is not included in the list? Let us know!"
"{""ImportId"":""startDate"",""timeZone"":""Europe/London""}","{""ImportId"":""endDate"",""timeZone"":""Europe/London""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/London""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID20_1""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID20_3""}","{""ImportId"":""QID20_4""}","{""ImportId"":""QID20_5""}","{""ImportId"":""QID20_6""}","{""ImportId"":""QID20_7""}","{""ImportId"":""QID21_0_GROUP""}","{""ImportId"":""QID21_G0_1_RANK""}","{""ImportId"":""QID21_G0_2_RANK""}","{""ImportId"":""QID21_G0_3_RANK""}","{""ImportId"":""QID21_G0_4_RANK""}","{""ImportId"":""QID21_G0_5_RANK""}","{""ImportId"":""QID21_G0_6_RANK""}","{""ImportId"":""QID21_G0_7_RANK""}","{""ImportId"":""QID21_G0_8_RANK""}","{""ImportId"":""QID21_G0_9_RANK""}","{""ImportId"":""QID21_G0_10_RANK""}","{""ImportId"":""QID21_G0_11_RANK""}","{""ImportId"":""QID21_G0_12_RANK""}","{""ImportId"":""QID19_TEXT""}"
2023-11-16 18:41:58,2023-11-16 18:44:43,IP Address,148.252.140.65,100,164,True,2023-11-16 18:44:44,R_1OxiJcVqeUEa9P1,,,,,51.4964,-0.1224,anonymous,EN,7,2,1,3,4,6,5,"London,New York,Singapore,Shanghai,Tokyo",2,,1,,,,,3,4,5,,,Hong Kong
2023-11-16 18:42:40,2023-11-16 18:45:07,IP Address,86.163.172.105,100,147,True,2023-11-16 18:45:08,R_OkalUN6jC6ysbV7,,,,,51.4236,-0.0668,anonymous,EN,7,5,1,6,2,3,4,"Sydney,Singapore,London,San Francisco,New York",5,4,3,,,,,2,,,,1,
2023-11-16 18:44:06,2023-11-16 18:45:17,IP Address,178.197.160.174,100,71,True,2023-11-16 18:45:18,R_1GNgZuLqktf9Kgr,,,,,47.3682,8.5671,anonymous,EN,7,5,1,4,6,3,2,"London,New York,Sydney,San Francisco,Tokyo",2,4,1,,,,,,,5,,3,Zurich
2023-11-16 18:44:17,2023-11-16 18:45:30,IP Address,104.28.86.60,100,72,True,2023-11-16 18:45:31,R_3m207UMu62nFbWQ,,,,,53.4788,-2.2585,anonymous,EN,6,4,3,5,7,2,1,"Dubai,London,Mumbai,Tokyo,Singapore",,,2,,,,1,5,,4,3,,Chicago
2023-11-16 18:44:38,2023-11-16 18:45:52,IP Address,94.6.195.142,100,73,True,2023-11-16 18:45:53,R_ZJDTLrivuE39ytb,,,,,51.3873,-0.1596,anonymous,EN,4,7,6,5,1,3,2,"Mumbai,San Francisco,New York,Tokyo,Dubai",3,2,,,,,5,,,4,1,,Indore
2023-11-16 18:44:03,2023-11-16 18:46:53,IP Address,37.62.188.70,100,170,True,2023-11-16 18:46:53,R_11XZHWBdgLjOzJP,,,,,50.8534,4.347,anonymous,EN,3,7,2,4,5,1,6,"Sydney,London,Mumbai,Copenhagen,Singapore",,,2,,,4,,5,,,3,1,Reijkavik
2023-11-16 18:45:47,2023-11-16 18:47:04,IP Address,143.58.143.65,100,76,True,2023-11-16 18:47:04,R_DnTPPfAQV6QVWaR,,,,,51.5064,-0.02,anonymous,EN,7,6,3,2,1,4,5,"New York,Singapore,Sydney,London,Berlin",1,,4,5,,,,2,,,,3,
2023-11-16 18:46:05,2023-11-16 18:48:06,IP Address,5.151.179.32,100,121,True,2023-11-16 18:48:06,R_3qyQpfiN71b0sUt,,,,,51.5032,-0.204,anonymous,EN,7,4,2,3,6,1,5,"Mumbai,London,Copenhagen,Berlin,Sydney",,,2,4,,3,,,,,1,5,
2023-11-16 18:48:30,2023-11-16 18:50:00,IP Address,86.163.172.105,100,89,True,2023-11-16 18:50:00,R_2akv0apYFSj2Tlx,,,,,51.4236,-0.0668,anonymous,EN,7,3,2,5,4,6,1,"London,New York,San Francisco,Dubai,Sydney",2,3,1,,,,4,,,,,5,Miami
2023-11-16 18:48:05,2023-11-16 18:50:11,IP Address,92.184.97.181,100,126,True,2023-11-16 18:50:12,R_3Nwy5fz585q9QXU,,,,,48.8323,2.4075,anonymous,EN,7,6,1,5,3,4,2,"Dubai,Paris,London,San Francisco,Tokyo",,4,3,,2,,1,,,5,,,
2023-11-16 18:44:47,2023-11-16 18:50:18,IP Address,185.69.144.159,100,330,True,2023-11-16 18:50:18,R_vvEBNdfIuvjl70Z,,,,,51.4964,-0.1224,anonymous,EN,6,4,3,2,5,1,7,"Dubai,Singapore,Mumbai,Berlin,London",,,5,4,,,1,2,,,3,,Jabalpur
2023-11-16 18:49:27,2023-11-16 18:50:32,IP Address,85.255.233.173,100,64,True,2023-11-16 18:50:32,R_1gFojLTdqEAv3Ei,,,,,51.4964,-0.1224,anonymous,EN,7,6,1,2,5,3,4,"New York,Singapore,Sydney,London,Berlin",1,,4,5,,,,2,,,,3,
2023-11-16 18:49:43,2023-11-16 18:52:10,IP Address,82.132.215.226,100,146,True,2023-11-16 18:52:10,R_po8SOo7XOhqCQP7,,,,,51.5268,-0.187,anonymous,EN,7,6,1,2,5,3,4,"London,Sydney,Copenhagen,New York,Dubai",4,,1,,,3,5,,,,,2,
2023-11-16 18:52:00,2023-11-16 18:53:05,IP Address,51.182.10.156,100,64,True,2023-11-16 18:53:05,R_31L80qgMhMBaSaD,,,,,51.5564,0.0714,anonymous,EN,7,4,2,1,6,3,5,"Singapore,London,Sydney,Berlin,Copenhagen",,,2,4,,5,,1,,,,3,
2023-11-16 18:51:25,2023-11-16 18:54:02,IP Address,92.40.217.2,100,156,True,2023-11-16 18:54:02,R_33EbtJ63k3MKg0m,,,,,51.5128,-0.0638,anonymous,EN,5,4,3,7,6,2,1,"Berlin,London,Sydney,New York,San Francisco",4,5,2,1,,,,,,,,3,"Frankfurt "
2023-11-16 18:57:27,2023-11-16 18:58:58,IP Address,86.151.205.250,100,90,True,2023-11-16 18:58:59,R_30bO2ZTIf232eOP,,,,,51.5314,-0.1703,anonymous,EN,5,3,6,7,2,1,4,"Shanghai,Singapore,London,Tokyo,Paris",,,3,,5,,,2,1,4,,,
2023-11-16 18:59:06,2023-11-16 19:00:19,IP Address,163.119.57.54,100,73,True,2023-11-16 19:00:20,R_2ZVUYIrmPh9yRVq,,,,,51.5245,-0.1567,anonymous,EN,6,5,1,4,3,7,2,"Copenhagen,New York,London,Singapore,Berlin",2,,3,5,,1,,4,,,,,Stockholm
2023-11-16 19:00:09,2023-11-16 19:02:22,IP Address,163.119.35.194,100,133,True,2023-11-16 19:02:22,R_1EcbBeu4rNfv0GF,,,,,51.5268,-0.187,anonymous,EN,7,5,1,6,4,3,2,"Copenhagen,Paris,London,New York,Berlin",4,,3,5,2,1,,,,,,,
2023-11-16 19:03:35,2023-11-16 19:04:53,IP Address,104.28.42.141,100,78,True,2023-11-16 19:04:54,R_3kzU0iyZkMFEgIc,,,,,50.3601,-4.1423,anonymous,EN,6,4,1,3,7,2,5,"London,Paris,San Francisco,New York,Copenhagen",4,3,1,,2,5,,,,,,,Chicago
2023-11-16 19:04:54,2023-11-16 19:06:41,IP Address,86.18.26.47,100,106,True,2023-11-16 19:06:41,R_vCShG3sQ5hCoVIR,,,,,51.5518,-0.1345,anonymous,EN,7,3,1,4,5,6,2,"London,Sydney,Tokyo,New York,Singapore",4,,1,,,,,5,,3,,2,Munich
2023-11-16 19:06:27,2023-11-16 19:07:50,IP Address,89.240.113.229,100,82,True,2023-11-16 19:07:51,R_1EgSOKLRlpm7NqK,,,,,51.5074,-0.1196,anonymous,EN,7,6,1,2,4,3,5,"Dubai,London,Singapore,Mumbai,New York",5,,2,,,,1,3,,,4,,Nope
2023-11-16 19:09:12,2023-11-16 19:10:38,IP Address,143.58.131.212,100,86,True,2023-11-16 19:10:38,R_31aBFTBxua03Qso,,,,,51.4781,-0.0279,anonymous,EN,6,7,1,3,5,4,2,"London,New York,Paris,Copenhagen,Sydney",2,,1,,3,4,,,,,,5,Amsterdam
2023-11-16 19:18:45,2023-11-16 19:19:54,IP Address,31.94.6.222,100,68,True,2023-11-16 19:19:54,R_2aXOzau9L9wd8uj,,,,,51.4862,-0.1008,anonymous,EN,4,7,1,5,6,3,2,"London,Singapore,San Francisco,Berlin,Mumbai",,3,1,4,,,,2,,,5,,Hong Kong
2023-11-16 19:21:11,2023-11-16 19:22:11,IP Address,85.255.235.108,100,60,True,2023-11-16 19:22:12,R_2uETHDRNUtiBD19,,,,,51.4964,-0.1224,anonymous,EN,6,7,2,3,4,1,5,"Paris,Copenhagen,Shanghai,Singapore,London",,,5,,1,2,,4,3,,,,
2023-11-16 19:22:42,2023-11-16 19:23:37,IP Address,86.13.254.67,100,54,True,2023-11-16 19:23:37,R_3nNKSiyXFu35dbE,,,,,51.5245,-0.1567,anonymous,EN,7,5,3,4,2,1,6,"Shanghai,London,Paris,Singapore,Sydney",,,2,,3,,,4,1,,,5,no
2023-11-16 19:22:48,2023-11-16 19:25:23,IP Address,82.132.244.19,100,154,True,2023-11-16 19:25:23,R_XuMPQc1DGA20Mtr,,,,,52.4867,-1.8989,anonymous,EN,5,7,4,6,2,1,3,"Berlin,London,Tokyo,Sydney,San Francisco",,5,2,1,,,,,,3,,4,Xinjiang
2023-11-16 19:24:05,2023-11-16 19:25:31,IP Address,137.220.74.132,100,86,True,2023-11-16 19:25:32,R_2doHi8rQrwotytf,,,,,51.5064,-0.02,anonymous,EN,7,5,3,6,2,1,4,"London,Shanghai,Singapore,Paris,New York",5,,1,,4,,,3,2,,,,
2023-11-16 19:37:06,2023-11-16 19:38:35,IP Address,137.220.87.74,100,89,True,2023-11-16 19:38:35,R_3qZQKK3bvDFitMT,,,,,51.5074,-0.1196,anonymous,EN,7,6,1,3,4,2,5,"Singapore,Shanghai,London,Copenhagen,New York",5,,3,,,4,,1,2,,,,Hongkong
2023-11-16 19:38:58,2023-11-16 19:40:41,IP Address,163.119.34.32,100,102,True,2023-11-16 19:40:42,R_T14yxDcadmhZa6Z,,,,,51.6518,-0.1933,anonymous,EN,7,4,1,6,5,3,2,"New York,London,Singapore,Sydney,Shanghai",1,,2,,,,,3,5,,,4,Hong Kong
2023-11-16 19:43:58,2023-11-16 19:45:05,IP Address,143.58.162.137,100,66,True,2023-11-16 19:45:06,R_Y9LvdgAYguf6FZn,,,,,51.5074,-0.0701,anonymous,EN,4,3,1,7,6,2,5,"Paris,Tokyo,New York,Singapore,Dubai",3,,,,1,,5,4,,2,,,shanghai
2023-11-16 19:39:41,2023-11-16 19:51:38,IP Address,31.94.6.178,100,716,True,2023-11-16 19:51:38,R_1F98xSW0sy59CST,,,,,51.5074,-0.0701,anonymous,EN,6,2,4,7,3,1,5,"Singapore,Tokyo,London,Dubai,Shanghai",,,3,,,,4,1,5,2,,,Bali
2023-11-16 19:51:01,2023-11-16 19:53:11,IP Address,148.252.129.216,100,129,True,2023-11-16 19:53:12,R_xflLsGu9xB4IVLX,,,,,51.4964,-0.1224,anonymous,EN,7,6,2,3,4,5,1,"London,New York,San Francisco,Sydney,Singapore",2,3,1,,,,,5,,,,4,Toronto
2023-11-16 20:15:53,2023-11-16 20:17:14,IP Address,185.69.144.87,100,80,True,2023-11-16 20:17:14,R_24GVCfcsjCFliLO,,,,,51.4964,-0.1224,anonymous,EN,7,4,1,5,3,2,6,"Shanghai,Singapore,Tokyo,San Francisco,London",,4,5,,,,,2,1,3,,,
2023-11-16 20:28:46,2023-11-16 20:31:13,IP Address,143.58.142.84,100,146,True,2023-11-16 20:31:13,R_2aJfdCvsZ6lXrUi,,,,,51.5026,-0.066,anonymous,EN,6,5,2,3,4,1,7,"Shanghai,Singapore,Copenhagen,London,Paris",,,4,,5,3,,2,1,,,,Hong Kong
2023-11-16 20:30:54,2023-11-16 20:31:44,IP Address,140.228.41.36,100,49,True,2023-11-16 20:31:44,R_1fiOvR7Ku4f70T4,,,,,51.5026,-0.066,anonymous,EN,7,6,2,1,3,4,5,"Mumbai,London,New York,Singapore,Dubai",3,,2,,,,5,4,,,1,,
2023-11-16 20:30:01,2023-11-16 20:32:43,IP Address,45.150.145.106,100,161,True,2023-11-16 20:32:43,R_3RylTpuap5Aeg9E,,,,,51.4412,-0.1833,anonymous,EN,7,5,1,6,3,2,4,"London,Shanghai,Singapore,New York,Paris",4,,1,,5,,,3,2,,,,Hong Kong
2023-11-16 20:34:29,2023-11-16 20:36:03,IP Address,86.129.185.241,100,93,True,2023-11-16 20:36:03,R_2Put3ggUEkwMuPj,,,,,51.509,-0.1882,anonymous,EN,3,5,7,6,1,4,2,"London,Paris,Copenhagen,Shanghai,New York",5,,1,,2,3,,,4,,,,Beijing
2023-11-16 20:35:24,2023-11-16 20:37:36,IP Address,152.37.103.241,100,131,True,2023-11-16 20:37:36,R_yOpJ9mbGh81GxVL,,,,,51.5088,-0.093,anonymous,EN,7,5,3,2,6,1,4,"London,New York,Shanghai,Singapore,Tokyo",2,,1,,,,,4,3,5,,,Hong Kong
2023-11-16 20:43:17,2023-11-16 20:44:11,IP Address,31.94.57.109,100,54,True,2023-11-16 20:44:11,R_yVZmKBGjjranE8F,,,,,51.4981,-0.0886,anonymous,EN,7,4,1,3,2,5,6,"Shanghai,Singapore,Tokyo,London,New York",5,,4,,,,,2,1,3,,,Hong Kong
2023-11-16 20:47:21,2023-11-16 20:48:45,IP Address,31.205.96.76,100,83,True,2023-11-16 20:48:45,R_RrgrsBXTYDEsM6d,,,,,51.5573,-0.2971,anonymous,EN,6,4,1,3,7,2,5,"Shanghai,London,Singapore,Tokyo,Dubai",,,2,,,,5,3,1,4,,,Hong Kong
